config,fold,n_features,roc_auc,pr_auc,f1,accuracy,precision,recall,brier
6_Raw_Plus_Composite_And_Missing,3,21,0.6564509250869349,0.4864635796737877,0.41836202399582684,0.6910501523967858,0.538255033557047,0.34215017064846415,0.21004305936086068
6_Raw_Plus_Composite_And_Missing,4,21,0.6759232428603625,0.5227937200511631,0.45986535473847745,0.7110002770850651,0.5857519788918206,0.37851662404092073,0.20243872987400421
6_Raw_Plus_Composite_And_Missing,5,21,0.6674775357419329,0.5029365118865534,0.441207075962539,0.7024106400665004,0.5660881174899867,0.3614663256606991,0.2059798752338111
6_Raw_Plus_Composite_And_Missing,6,21,0.6653069106181659,0.5008861892369456,0.4296998420221169,0.7,0.5619834710743802,0.34782608695652173,0.20662778702189466
6_Raw_Plus_Composite_And_Missing,7,21,0.6710764858040363,0.5207601831477714,0.4395716471188169,0.6954835134386257,0.5462610899873257,0.3677474402730375,0.2043496030674616
6_Raw_Plus_Composite_And_Missing,8,21,0.6594906665023437,0.49514640336960536,0.42344244984160506,0.6974231088944306,0.5554016620498615,0.34215017064846415,0.20834173282390095
6_Raw_Plus_Composite_And_Missing,9,21,0.66317454018089,0.5103531492981219,0.4216158373461744,0.7004710446106955,0.5660919540229885,0.3358908780903666,0.20603935559757
6_Raw_Plus_Composite_And_Missing,10,21,0.6623748699879752,0.49343801532332143,0.4357656731757451,0.6957605985037406,0.5485122897800776,0.3614663256606991,0.20894935779256676
6_Raw_Plus_Composite_And_Missing,11,21,0.6771198568810407,0.5272934409718386,0.44863731656184486,0.7085872576177286,0.582312925170068,0.3648763853367434,0.20206698828940606
6_Raw_Plus_Composite_And_Missing,12,21,0.6706255313070257,0.5152433559909363,0.4435102469784551,0.7065669160432253,0.5772913816689467,0.36006825938566556,0.20409249611374183
6_Raw_Plus_Composite_And_Missing,13,21,0.6760445128501025,0.5025666138807061,0.43829787234042555,0.7073981712385703,0.5819209039548022,0.3515358361774744,0.20415588368834173
6_Raw_Plus_Composite_And_Missing,14,21,0.667633270199634,0.5138344397657545,0.44468198824158206,0.7121086173455251,0.5959885386819485,0.3546462063086104,0.20447434022668395
6_Raw_Plus_Composite_And_Missing,15,21,0.6549834326534212,0.48991277723613996,0.43075356415478616,0.6902188972014408,0.5347661188369153,0.36061381074168797,0.21102081883208007
6_Raw_Plus_Composite_And_Missing,16,21,0.6630386682156761,0.5100826917789407,0.441207075962539,0.7024930747922438,0.5660881174899867,0.3614663256606991,0.20666683941645347
6_Raw_Plus_Composite_And_Missing,17,21,0.6696539484427365,0.5194220681601294,0.44763423710792133,0.7121086173455251,0.5937940761636107,0.35921501706484643,0.2041515628796593
6_Raw_Plus_Composite_And_Missing,18,21,0.6595748703505822,0.4951949334909525,0.42398737506575485,0.6965918536990856,0.5528120713305898,0.3438566552901024,0.20824863842082159
6_Raw_Plus_Composite_And_Missing,19,21,0.657336422825002,0.49491648583166264,0.4175824175824176,0.6916043225270158,0.540650406504065,0.340153452685422,0.20903530093705963
6_Raw_Plus_Composite_And_Missing,20,21,0.6625453029787627,0.5053467061586362,0.4385692068429238,0.6999168744804655,0.5595238095238095,0.36061381074168797,0.20732214396105875
6_Raw_Plus_Composite_And_Missing,21,21,0.6724520141145967,0.5087018022990962,0.44166666666666665,0.7030470914127424,0.5676037483266398,0.3614663256606991,0.2048207534977886
6_Raw_Plus_Composite_And_Missing,22,21,0.6565704910502339,0.4994911314743254,0.43112513144058884,0.7001939595455805,0.5616438356164384,0.34982935153583616,0.20922028304451554
6_Raw_Plus_Composite_And_Missing,23,21,0.6603776953984435,0.49625920964665343,0.426246719160105,0.6971460238293156,0.5538881309686221,0.3464163822525597,0.2088474271912682
6_Raw_Plus_Composite_And_Missing,24,21,0.6687363601112609,0.5037341470292906,0.4447900466562986,0.7032418952618454,0.5674603174603174,0.3657289002557545,0.20607913962779467
6_Raw_Plus_Composite_And_Missing,25,21,0.6714613631559571,0.5129954963839201,0.4321503131524008,0.6985314491548905,0.5572005383580081,0.35294117647058826,0.204712826159038
